,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,01.01.2020,"290,352","290,727","290,945","290,331",,"0,01%"
1,02.01.2020,"292,842","290,356","293,185","290,185",,"0,86%"
2,03.01.2020,"297,960","292,844","298,495","292,844",,"1,75%"
3,05.01.2020,"301,218","300,737","304,721","300,737",,"1,09%"
4,06.01.2020,"300,177","301,206","303,438","299,500",,"-0,35%"
5,07.01.2020,"306,494","300,176","307,052","298,521",,"2,10%"
6,08.01.2020,"296,072","306,481","309,727","294,777",,"-3,40%"
7,09.01.2020,"293,540","296,081","296,855","291,408",,"-0,86%"
8,10.01.2020,"295,234","293,544","295,364","291,984",,"0,58%"
9,12.01.2020,"294,694","294,822","294,942","294,474",,"-0,18%"
10,13.01.2020,"291,424","294,717","294,839","291,367",,"-1,11%"
11,14.01.2020,"293,320","291,430","293,404","289,722",,"0,65%"
12,15.01.2020,"294,102","293,321","294,701","292,524",,"0,27%"
13,16.01.2020,"292,307","294,109","294,437","291,608",,"-0,61%"
14,17.01.2020,"294,737","292,330","295,921","291,822",,"0,83%"
15,19.01.2020,"295,090","295,436","295,524","294,989",,"0,12%"
16,20.01.2020,"296,889","295,089","297,044","294,957",,"0,61%"
17,21.01.2020,"296,996","296,901","298,786","294,857",,"0,04%"
18,22.01.2020,"297,299","296,991","297,733","295,859",,"0,10%"
19,23.01.2020,"297,615","297,282","299,567","295,145",,"0,11%"
20,24.01.2020,"300,083","297,611","301,171","297,005",,"0,83%"
21,26.01.2020,"302,591","302,123","303,786","302,123",,"0,84%"
22,27.01.2020,"302,134","302,616","303,376","301,105",,"-0,15%"
23,28.01.2020,"299,657","302,146","302,687","298,988",,"-0,82%"
24,29.01.2020,"302,245","299,656","302,514","298,677",,"0,86%"
25,30.01.2020,"302,750","302,251","305,135","302,059",,"0,17%"
26,31.01.2020,"305,612","302,742","305,937","301,906",,"0,95%"
27,02.02.2020,"305,546","305,674","306,132","305,364",,"-0,02%"
28,03.02.2020,"303,807","305,562","305,647","302,245",,"-0,57%"
29,04.02.2020,"298,803","303,795","303,926","297,340",,"-1,65%"
30,05.02.2020,"299,297","298,777","300,695","297,794",,"0,17%"
31,06.02.2020,"301,471","299,332","301,884","298,677",,"0,73%"
32,07.02.2020,"303,577","301,471","305,952","300,792",,"0,70%"
33,09.02.2020,"303,254","302,750","303,854","302,179",,"-0,11%"
34,10.02.2020,"303,626","303,236","305,344","301,843",,"0,12%"
35,11.02.2020,"303,229","303,611","305,363","302,046",,"-0,13%"
36,12.02.2020,"305,121","303,207","305,644","301,894",,"0,62%"
37,13.02.2020,"306,409","305,148","307,183","304,977",,"0,42%"
38,14.02.2020,"308,493","306,398","308,627","305,639",,"0,68%"
39,16.02.2020,"308,277","308,022","308,293","307,794",,"-0,07%"
40,17.02.2020,"308,048","308,305","308,419","306,768",,"-0,07%"
41,18.02.2020,"312,161","308,057","312,754","308,045",,"1,34%"
42,19.02.2020,"315,022","312,162","315,538","311,932",,"0,92%"
43,20.02.2020,"318,313","315,005","318,782","314,035",,"1,04%"
44,21.02.2020,"322,265","318,323","324,216","317,736",,"1,24%"
45,23.02.2020,"327,415","325,587","330,176","325,219",,"1,60%"
46,24.02.2020,"325,291","327,422","334,192","324,788",,"-0,65%"
47,25.02.2020,"324,164","325,352","327,801","319,419",,"-0,35%"
48,26.02.2020,"325,620","324,118","327,545","321,819",,"0,45%"
49,27.02.2020,"328,557","325,552","330,269","325,204",,"0,90%"
50,28.02.2020,"318,226","328,574","329,240","313,669",,"-3,14%"
51,01.03.2020,"318,573","319,847","320,067","316,720",,"0,11%"
52,02.03.2020,"315,910","318,542","323,762","313,842",,"-0,84%"
53,03.03.2020,"323,495","315,842","324,534","315,724",,"2,40%"
54,04.03.2020,"320,046","323,412","324,520","319,340",,"-1,07%"
55,05.03.2020,"328,710","320,047","329,470","319,492",,"2,71%"
56,06.03.2020,"328,329","328,715","331,711","322,067",,"-0,12%"
57,08.03.2020,"334,901","333,383","336,590","331,000",,"2,00%"
58,09.03.2020,"329,898","334,922","339,031","326,064",,"-1,49%"
59,10.03.2020,"328,036","329,894","330,865","325,003",,"-0,56%"
60,11.03.2020,"328,295","328,031","332,066","325,937",,"0,08%"
61,12.03.2020,"320,294","328,277","330,220","316,439",,"-2,44%"
62,13.03.2020,"311,420","320,273","323,362","306,331",,"-2,77%"
63,15.03.2020,"315,138","315,001","318,539","312,330",,"1,19%"
64,16.03.2020,"311,548","315,167","315,816","299,141",,"-1,14%"
65,17.03.2020,"316,469","311,547","320,442","305,064",,"1,58%"
66,18.03.2020,"311,937","316,482","317,363","307,318",,"-1,43%"
67,19.03.2020,"309,735","312,010","313,240","305,876",,"-0,71%"
68,20.03.2020,"315,557","309,755","316,430","309,617",,"1,88%"
69,22.03.2020,"314,856","317,568","317,767","313,224",,"-0,22%"
70,23.03.2020,"329,885","314,872","330,534","313,718",,"4,77%"
71,24.03.2020,"338,323","329,899","339,573","326,874",,"2,56%"
72,25.03.2020,"332,446","338,323","339,064","328,971",,"-1,74%"
73,26.03.2020,"334,688","332,488","337,911","316,808",,"0,67%"
74,27.03.2020,"337,217","334,721","338,435","333,718",,"0,76%"
75,29.03.2020,"338,261","338,317","339,401","337,182",,"0,31%"
76,30.03.2020,"341,589","338,250","343,722","335,624",,"0,98%"
77,31.03.2020,"335,908","341,588","343,243","333,960",,"-1,66%"
78,01.04.2020,"343,381","335,903","344,277","335,480",,"2,22%"
79,02.04.2020,"344,143","343,317","345,739","339,357",,"0,22%"
80,03.04.2020,"350,141","344,140","351,861","343,202",,"1,74%"
81,05.04.2020,"351,136","348,880","351,254","348,316",,"0,28%"
