,Release Date,Time,Actual,Forecast,Previous
0,2024-01-29,08:00:00,,,2.9%
1,2024-01-09,02:00:00,2.9%,2.9%,3.7%
2,2023-12-31,08:00  ,2.9%,3.0%,3.7%
3,2023-12-16,02:00:00,3.7%,3.7%,3.2%
4,2023-12-04,08:00  ,3.7%,3.7%,3.2%
5,2023-11-08,02:00:00,3.2%,3.2%,3.8%
6,2023-10-29,08:00  ,3.2%,3.5%,3.8%
7,2023-10-08,02:00:00,3.8%,3.8%,4.5%
8,2023-09-30,08:00  ,3.8%,4.0%,4.5%
9,2023-09-11,01:00:00,4.5%,4.5%,6.1%
10,2023-08-28,07:00  ,4.5%,4.6%,6.1%
11,2023-08-08,01:00:00,6.1%,6.1%,6.2%
12,2023-07-30,07:00  ,6.1%,6.0%,6.2%
13,2023-07-08,01:00:00,6.2%,6.2%,6.4%
14,2023-06-28,07:00  ,6.2%,6.2%,6.4%
15,2023-06-11,01:00:00,6.4%,6.4%,6.1%
16,2023-05-29,07:00  ,6.4%,6.3%,6.1%
17,2023-05-13,01:00:00,6.1%,6.1%,7.2%
18,2023-04-30,07:00  ,6.1%,7.3%,7.2%
19,2023-04-10,01:00:00,7.2%,7.2%,7.4%
20,2023-03-28,07:00  ,7.2%,7.3%,7.4%
21,2023-03-13,01:00:00,7.4%,7.4%,8.7%
22,2023-02-28,07:00  ,7.4%,7.3%,8.7%
23,2023-02-10,02:00:00,8.7%,8.7%,8.7%
24,2023-02-01,08:00  ,8.7%,8.5%,8.7%
25,2023-01-22,02:00:00,8.7%,8.7%,8.1%
26,2023-01-09,02:00  ,8.7%,8.9%,8.6%
27,2022-12-17,02:00:00,8.6%,8.6%,10.0%
28,2022-12-03,08:00  ,8.6%,9.1%,10.0%
29,2022-11-13,02:00:00,10.0%,10.0%,10.4%
30,2022-10-29,08:00  ,10.0%,10.4%,10.4%
31,2022-10-11,02:00:00,10.4%,10.4%,10.0%
32,2022-09-28,07:00  ,10.4%,10.1%,10.0%
33,2022-09-13,01:00:00,10.0%,10.0%,7.9%
34,2022-08-29,07:00  ,10.0%,9.4%,7.9%
35,2022-08-13,01:00:00,7.9%,7.9%,7.5%
36,2022-07-30,07:00  ,7.9%,7.8%,7.9%
37,2022-07-10,01:00:00,7.5%,7.5%,7.6%
38,2022-06-28,07:00  ,7.5%,7.4%,7.6%
39,2022-06-13,01:00:00,7.6%,7.6%,7.9%
40,2022-05-29,07:00  ,7.6%,8.0%,7.9%
41,2022-05-14,01:00:00,7.9%,7.9%,7.4%
42,2022-04-30,07:00  ,7.9%,7.6%,7.4%
43,2022-04-11,01:00:00,7.4%,7.4%,7.3%
44,2022-03-28,07:00  ,7.4%,7.2%,7.3%
45,2022-03-12,01:00:00,7.3%,7.3%,5.1%
46,2022-02-28,07:00  ,7.3%,6.3%,5.1%
47,2022-02-11,02:00:00,5.1%,5.1%,4.9%
48,2022-02-01,08:00  ,5.1%,5.1%,4.9%
49,2022-01-11,02:00:00,4.9%,4.9%,4.9%
50,2021-12-31,08:00  ,4.9%,4.3%,4.9%
51,2021-12-19,02:00:00,5.3%,5.3%,5.2%
52,2021-12-06,08:00  ,5.3%,5.1%,5.2%
53,2021-11-10,02:00:00,5.2%,5.2%,5.2%
54,2021-10-29,08:00  ,5.2%,5.0%,4.5%
55,2021-10-10,02:00:00,4.5%,4.5%,4.1%
56,2021-09-28,07:00  ,4.5%,4.4%,4.1%
57,2021-09-13,01:00:00,4.1%,4.1%,4.1%
58,2021-08-30,07:00  ,4.1%,4.2%,3.9%
59,2021-08-10,01:00:00,3.9%,3.9%,3.8%
60,2021-07-30,07:00  ,3.9%,3.9%,3.8%
61,2021-07-11,01:00:00,3.8%,3.8%,2.3%
62,2021-06-29,07:00  ,3.8%,3.3%,2.3%
63,2021-06-13,01:00:00,2.3%,2.3%,2.5%
64,2021-05-29,07:00  ,2.3%,2.3%,2.5%
65,2021-05-15,01:00:00,2.5%,2.5%,2.0%
66,2021-04-30,07:00  ,2.5%,2.3%,2.0%
67,2021-04-12,01:00:00,2.0%,2.0%,1.7%
68,2021-03-29,07:00  ,2.0%,1.9%,1.7%
69,2021-03-15,01:00:00,1.7%,1.7%,1.3%
70,2021-02-28,07:00  ,1.7%,1.7%,1.3%
71,2021-02-12,02:00:00,1.3%,1.3%,1.0%
72,2021-02-01,08:00  ,1.3%,1.2%,1.0%
73,2021-01-10,02:00:00,1.0%,1.0%,-0.3%
74,2020-12-28,08:00  ,1.0%,0.7%,-0.3%
75,2020-12-19,02:00:00,-0.3%,-0.3%,-0.3%
76,2020-12-06,08:00  ,-0.3%,-0.3%,-0.3%
77,2020-11-11,02:00:00,-0.3%,-0.3%,-0.2%
78,2020-10-30,08:00  ,-0.3%,-0.1%,-0.2%
79,2020-10-12,02:00:00,-0.2%,-0.2%,-0.2%
