,Release Date,Time,Actual,Forecast,Previous
0,2024-01-20,08:30:00,,3.2%,3.4%
1,2023-12-16,08:30:00,3.4%,3.4%,3.1%
2,2023-11-19,08:30:00,3.1%,2.9%,3.1%
3,2023-10-21,08:30:00,3.1%,3.2%,3.8%
4,2023-09-17,07:30:00,3.8%,4.0%,4.0%
5,2023-08-19,07:30:00,4.0%,3.8%,3.3%
6,2023-07-15,07:30:00,3.3%,3.0%,2.8%
7,2023-06-18,07:30:00,2.8%,3.0%,3.4%
8,2023-05-27,07:30:00,3.4%,3.4%,4.4%
9,2023-04-16,07:30:00,4.4%,4.1%,4.3%
10,2023-03-18,07:30:00,4.3%,4.3%,5.2%
11,2023-02-21,07:30:00,5.2%,5.4%,5.9%
12,2023-01-21,08:30:00,5.9%,6.1%,6.3%
13,2022-12-17,08:30:00,6.3%,6.4%,6.8%
14,2022-11-21,08:30:00,6.8%,6.7%,6.9%
15,2022-10-16,08:30:00,6.9%,6.9%,6.9%
16,2022-09-19,07:30:00,6.9%,6.8%,7.0%
17,2022-08-20,07:30:00,7.0%,7.3%,7.6%
18,2022-07-16,07:30:00,7.6%,7.6%,8.1%
19,2022-06-20,07:30:00,8.1%,8.4%,7.7%
20,2022-05-22,07:30:00,7.7%,7.4%,6.8%
21,2022-04-18,07:30:00,6.8%,6.7%,6.7%
22,2022-03-20,07:30:00,6.7%,6.1%,5.7%
23,2022-02-16,07:30:00,5.7%,5.5%,5.1%
24,2022-01-16,08:30:00,5.1%,4.8%,4.8%
25,2021-12-19,08:30:00,4.8%,4.8%,4.7%
26,2021-11-15,08:30:00,4.7%,4.7%,4.7%
27,2021-10-17,08:30:00,4.7%,4.7%,4.4%
28,2021-09-20,07:30:00,4.4%,4.3%,4.1%
29,2021-08-15,07:30:00,4.1%,3.9%,3.7%
30,2021-07-18,07:30:00,3.7%,3.4%,3.1%
31,2021-06-28,07:30:00,3.1%,3.2%,3.6%
32,2021-05-16,07:30:00,3.6%,3.5%,3.4%
33,2021-04-19,07:30:00,3.4%,3.2%,2.2%
34,2021-03-21,07:30:00,2.2%,2.3%,1.1%
35,2021-02-17,07:30:00,1.1%,1.3%,1.0%
36,2021-01-17,08:30:00,1.0%,0.9%,0.7%
37,2020-12-20,08:30:00,0.7%,1.0%,1.0%
38,2020-11-16,08:30:00,1.0%,0.8%,0.7%
39,2020-10-18,08:30:00,0.7%,0.4%,0.5%
40,2020-09-21,07:30:00,0.5%,0.4%,0.1%
41,2020-08-16,07:30:00,0.1%,0.4%,0.1%
42,2020-07-19,07:30:00,0.1%,0.5%,0.7%
43,2020-06-22,07:30:00,0.7%,0.3%,-0.4%
44,2020-05-17,07:30:00,-0.4%,-0.1%,-0.2%
45,2020-04-20,07:30:00,-0.2%,-0.1%,0.9%
46,2020-03-22,07:30:00,0.9%,1.2%,2.2%
47,2020-02-18,07:30:00,2.2%,2.1%,2.4%
48,2020-01-19,08:30:00,2.4%,2.3%,2.2%
