,Release Date,Time,Actual,Forecast,Previous
0,2024-02-08,20:30:00,,,-0.8%
1,2024-01-07,20:30:00,-0.8%,-0.5%,-0.3%
2,2023-12-11,20:30:00,-0.3%,-0.4%,-0.5%
3,2023-11-08,20:30:00,-0.5%,-0.1%,-0.2%
4,2023-10-08,20:30:00,-0.2%,-0.1%,0.0%
5,2023-09-12,20:30:00,0.0%,0.2%,0.1%
6,2023-08-08,20:30:00,0.1%,0.1%,-0.3%
7,2023-07-08,20:30:00,-0.3%,-0.4%,0.0%
8,2023-06-09,20:30:00,0.0%,0.2%,0.2%
9,2023-05-08,20:30:00,0.2%,0.3%,0.1%
10,2023-04-10,20:30:00,0.1%,0.4%,0.7%
11,2023-03-10,20:30:00,0.7%,1.0%,1.0%
12,2023-02-08,20:30:00,1.0%,1.9%,2.1%
13,2023-01-09,20:30:00,2.1%,2.2%,1.8%
14,2022-12-11,20:30:00,1.8%,1.8%,1.6%
15,2022-11-08,20:30:00,1.6%,1.6%,2.1%
16,2022-10-08,20:30:00,2.1%,2.4%,2.8%
17,2022-09-13,20:30:00,2.8%,2.8%,2.5%
18,2022-08-08,20:30:00,2.5%,2.8%,2.7%
19,2022-07-09,20:30:00,2.7%,2.9%,2.5%
20,2022-06-08,20:30:00,2.5%,2.4%,2.1%
21,2022-05-09,20:30:00,2.1%,2.2%,2.1%
22,2022-04-10,20:30:00,2.1%,1.8%,1.5%
23,2022-03-10,20:30:00,1.5%,1.2%,0.9%
24,2022-02-08,20:30:00,0.9%,0.9%,0.9%
25,2022-01-15,20:30:00,0.9%,1.0%,1.5%
26,2021-12-11,20:30:00,1.5%,1.8%,2.3%
27,2021-11-08,20:30:00,2.3%,2.5%,1.5%
28,2021-10-09,20:30:00,1.5%,1.4%,0.7%
29,2021-09-13,20:30:00,0.7%,0.9%,0.8%
30,2021-08-08,20:30:00,0.8%,1.0%,1.0%
31,2021-07-08,20:30:00,1.0%,0.8%,1.1%
32,2021-06-08,20:30:00,1.1%,1.3%,1.3%
33,2021-05-08,20:30:00,1.3%,1.6%,0.9%
34,2021-04-10,20:30:00,0.9%,1.0%,0.4%
35,2021-03-08,20:30:00,0.4%,0.3%,-0.2%
36,2021-02-09,20:30:00,-0.2%,-0.4%,-0.3%
37,2021-01-09,20:30:00,-0.3%,-0.1%,0.2%
38,2020-12-10,20:30:00,0.2%,0.1%,-0.5%
39,2020-11-08,20:30:00,-0.5%,0.8%,0.5%
40,2020-10-09,20:30:00,0.5%,0.8%,1.7%
41,2020-09-14,20:30:00,1.7%,1.8%,2.4%
42,2020-08-08,20:30:00,2.4%,2.4%,2.7%
43,2020-07-09,20:30:00,2.7%,2.6%,2.5%
44,2020-06-08,20:30:00,2.5%,2.5%,2.4%
45,2020-05-09,20:30:00,2.4%,2.7%,3.3%
46,2020-04-11,20:30:00,3.3%,3.7%,4.3%
47,2020-03-09,20:30:00,4.3%,4.8%,5.2%
48,2020-02-09,20:30:00,5.2%,5.2%,5.4%
49,2020-01-09,20:30:00,5.4%,4.9%,4.5%
