,Release Date,Time,Actual,Forecast,Previous
0,2024-02-01,05:00:00,,,0.6%
1,2024-01-22,04:00:00,,0.8%,0.6%
2,2024-01-01,05:00  ,0.8%,1.1%,0.6%
3,2023-12-16,04:00:00,0.6%,0.6%,0.7%
4,2023-12-05,05:00  ,0.6%,0.7%,0.7%
5,2023-11-15,04:00:00,0.7%,0.8%,1.7%
6,2023-10-30,05:00  ,0.8%,,1.7%
7,2023-10-15,04:00:00,1.7%,1.8%,5.3%
8,2023-09-30,05:00  ,1.8%,0.3%,5.3%
9,2023-09-16,03:00:00,5.3%,5.3%,5.4%
10,2023-08-29,04:00  ,5.3%,5.3%,5.4%
11,2023-08-15,03:00:00,5.4%,5.5%,5.9%
12,2023-07-31,04:00  ,5.5%,5.3%,5.9%
13,2023-07-10,03:00:00,5.9%,6.0%,6.4%
14,2023-06-30,04:00  ,6.0%,6.1%,6.4%
15,2023-06-17,03:00:00,6.4%,6.4%,7.6%
16,2023-05-28,04:00  ,6.4%,6.8%,7.6%
17,2023-05-16,03:00:00,7.6%,7.6%,8.2%
18,2023-04-30,04:00  ,7.6%,9.2%,8.2%
19,2023-04-16,03:00:00,8.2%,8.3%,7.6%
20,2023-04-02,04:00  ,8.3%,8.2%,7.6%
21,2023-03-17,03:00:00,7.6%,7.7%,9.1%
22,2023-02-28,04:00  ,7.7%,8.2%,9.1%
23,2023-02-16,04:00:00,9.1%,9.2%,10.0%
24,2023-02-02,05:00  ,9.2%,8.8%,10.0%
25,2023-01-22,04:00:00,10.0%,10.1%,11.6%
26,2023-01-01,05:00  ,10.1%,10.1%,11.6%
27,2022-12-17,04:00:00,11.6%,11.6%,11.8%
28,2022-12-05,05:00  ,11.6%,11.6%,11.8%
29,2022-11-16,05:00:00,11.8%,11.8%,11.8%
30,2022-10-30,05:00  ,11.8%,11.3%,11.8%
31,2022-10-16,04:00:00,11.8%,11.9%,8.9%
32,2022-09-28,04:00  ,11.9%,9.6%,8.9%
33,2022-09-17,03:00:00,8.9%,8.9%,8.4%
34,2022-08-30,04:00  ,8.9%,8.7%,8.4%
35,2022-08-16,04:00:00,8.4%,8.4%,8.4%
36,2022-07-31,04:00  ,8.4%,8.1%,7.9%
37,2022-07-10,03:00:00,7.9%,7.9%,8.0%
