,Release Date,Time,Actual,Forecast,Previous
0,2024-01-26,18:30:00,,,2.6%
1,2023-12-18,18:30:00,2.6%,,2.8%
2,2023-11-21,18:30:00,2.8%,,3.3%
3,2023-10-23,18:30:00,3.3%,3.4%,3.0%
4,2023-09-19,18:30:00,3.0%,,3.2%
5,2023-08-21,18:30:00,3.2%,,3.3%
6,2023-07-17,18:30:00,3.3%,2.5%,3.3%
7,2023-06-20,18:30:00,3.3%,3.5%,3.2%
8,2023-05-22,18:30:00,3.2%,4.1%,3.5%
9,2023-04-18,18:30:00,3.5%,2.5%,3.2%
10,2023-03-20,18:30:00,3.2%,3.2%,3.3%
11,2023-02-23,18:30:00,3.3%,,4.3%
12,2023-01-23,18:30:00,4.3%,,4.0%
13,2022-12-19,18:30:00,4.0%,,3.8%
14,2022-11-22,18:30:00,3.8%,,3.7%
15,2022-10-17,18:30:00,3.7%,,3.0%
16,2022-09-20,18:30:00,3.0%,,3.0%
17,2022-08-19,18:30:00,3.0%,,2.6%
18,2022-07-18,18:30:00,2.6%,,2.4%
19,2022-06-21,18:30:00,2.4%,,2.5%
20,2022-05-23,18:30:00,2.5%,,2.5%
21,2022-04-19,18:30:00,2.5%,,1.2%
22,2022-03-21,18:30:00,1.2%,,0.9%
23,2022-02-17,18:30:00,0.9%,,0.5%
24,2022-01-17,18:30:00,0.5%,,0.8%
25,2021-12-20,18:30:00,0.8%,,0.6%
26,2021-11-23,18:30:00,0.6%,,0.1%
27,2021-10-18,18:30:00,0.1%,,0.2%
28,2021-09-21,18:30:00,0.2%,,-0.4%
29,2021-08-23,18:30:00,-0.4%,,-0.3%
30,2021-07-19,18:30:00,-0.3%,,-0.5%
31,2021-06-19,18:30:00,0.2%,,-0.1%
32,2021-05-17,18:30:00,-0.1%,,-0.4%
33,2021-04-20,18:30:00,-0.4%,,-0.2%
34,2021-03-22,18:30:00,-0.2%,,-0.4%
35,2021-02-18,18:30:00,-0.4%,,-0.6%
36,2021-01-18,18:30:00,-0.6%,,-1.2%
37,2020-12-21,18:30:00,-1.2%,,-0.9%
38,2020-11-17,18:30:00,-0.9%,,-0.4%
39,2020-10-19,18:30:00,-0.4%,-0.3%,0.0%
40,2020-09-22,18:30:00,0.0%,,0.2%
41,2020-08-17,18:30:00,0.2%,,0.3%
42,2020-07-20,18:30:00,0.3%,,0.1%
43,2020-06-20,18:30:00,0.1%,,0.1%
44,2020-05-18,18:30:00,0.1%,,0.1%
45,2020-04-21,18:30:00,0.1%,,0.4%
46,2020-03-23,18:30:00,0.4%,,0.4%
47,2020-02-18,18:30:00,0.4%,0.8%,0.7%
48,2020-01-20,18:30:00,0.7%,0.7%,0.8%
