,Release Date,Time,Actual,Forecast,Previous
0,2024-01-29,03:00:00,,,3.4%
1,2024-01-15,03:00:00,3.4%,3.4%,3.1%
2,2023-12-30,03:00  ,3.4%,3.1%,3.1%
3,2023-12-12,03:00:00,3.1%,3.1%,3.2%
4,2023-11-29,03:00  ,3.1%,3.4%,3.2%
5,2023-11-14,03:00:00,3.2%,3.2%,3.5%
6,2023-10-29,03:00  ,3.2%,3.7%,3.5%
7,2023-10-14,03:00:00,3.5%,3.5%,3.5%
8,2023-09-30,03:00  ,3.5%,3.8%,3.5%
9,2023-09-13,02:00:00,3.5%,3.5%,2.6%
10,2023-08-28,02:00  ,3.5%,3.5%,2.6%
11,2023-08-12,02:00:00,2.6%,2.6%,2.3%
12,2023-07-30,02:00  ,2.6%,2.6%,2.3%
13,2023-07-11,02:00:00,2.3%,2.3%,1.9%
14,2023-06-28,02:00  ,2.3%,1.6%,1.9%
15,2023-06-12,02:00:00,1.9%,1.9%,3.2%
16,2023-05-29,02:00  ,1.9%,1.7%,3.2%
17,2023-05-13,02:00:00,3.2%,3.2%,4.1%
18,2023-04-30,02:00  ,3.2%,4.4%,4.1%
19,2023-04-12,02:00:00,4.1%,4.1%,3.3%
20,2023-03-28,02:00  ,4.1%,4.4%,3.3%
21,2023-03-14,02:00:00,3.3%,3.3%,6.0%
22,2023-02-28,02:00  ,3.3%,3.8%,6.0%
23,2023-02-14,03:00:00,6.0%,6.1%,5.9%
24,2023-01-28,03:00  ,6.1%,5.9%,5.9%
25,2023-01-15,03:00:00,5.9%,5.8%,5.7%
26,2022-12-30,03:00  ,5.8%,4.9%,5.7%
27,2022-12-13,03:00:00,5.7%,5.8%,6.8%
28,2022-11-30,03:00  ,5.8%,6.1%,6.8%
29,2022-11-14,03:00:00,6.8%,6.3%,7.3%
30,2022-10-29,03:00  ,6.8%,7.4%,7.3%
31,2022-10-15,03:00:00,7.3%,7.3%,8.9%
32,2022-09-28,02:00  ,7.3%,8.0%,8.9%
33,2022-09-14,02:00:00,8.9%,9.0%,10.5%
34,2022-08-29,02:00  ,9.0%,10.0%,10.5%
35,2022-08-13,02:00:00,10.5%,10.4%,10.8%
36,2022-07-30,02:00  ,10.4%,10.9%,10.8%
37,2022-07-12,02:00:00,10.8%,10.8%,10.2%
38,2022-06-29,02:00  ,10.8%,10.6%,10.2%
39,2022-06-13,02:00:00,10.2%,10.2%,8.7%
40,2022-05-29,02:00  ,10.2%,9.0%,8.7%
41,2022-05-10,02:00:00,8.7%,8.7%,8.3%
42,2022-04-30,02:00  ,8.7%,8.3%,8.3%
43,2022-04-13,02:00:00,8.3%,8.4%,8.4%
44,2022-03-28,02:00  ,8.4%,9.0%,9.8%
45,2022-03-13,02:00:00,9.8%,9.8%,7.6%
46,2022-02-28,02:00  ,9.8%,8.0%,7.6%
47,2022-02-11,03:00:00,7.6%,7.4%,6.1%
48,2022-01-28,03:00  ,7.4%,7.1%,6.1%
49,2022-01-15,03:00:00,6.1%,6.0%,6.5%
50,2021-12-31,03:00  ,6.0%,6.7%,6.5%
51,2021-12-14,03:00:00,6.5%,6.7%,5.5%
52,2021-11-30,03:00  ,6.7%,,5.5%
53,2021-11-15,03:00:00,5.5%,5.6%,5.4%
54,2021-10-29,03:00  ,5.6%,4.0%,5.4%
55,2021-10-12,03:00:00,5.4%,5.5%,4.0%
56,2021-09-28,02:00  ,5.5%,,4.0%
57,2021-09-14,02:00:00,4.0%,4.0%,3.3%
58,2021-08-29,02:00  ,4.0%,3.5%,3.3%
59,2021-08-14,02:00:00,3.3%,3.3%,2.9%
60,2021-07-30,02:00  ,3.3%,,2.9%
61,2021-07-13,02:00:00,2.9%,2.9%,2.7%
62,2021-06-29,02:00  ,2.9%,2.6%,2.7%
63,2021-06-14,02:00:00,2.7%,2.6%,2.7%
64,2021-05-29,02:00  ,2.6%,,2.7%
65,2021-05-11,02:00:00,2.7%,2.7%,2.2%
66,2021-04-30,02:00  ,2.7%,,2.2%
67,2021-04-14,02:00:00,2.2%,2.2%,1.3%
68,2021-03-29,02:00  ,2.2%,1.3%,1.3%
69,2021-03-14,02:00:00,1.3%,1.3%,1.3%
70,2021-02-28,02:00  ,1.3%,,0.0%
71,2021-02-12,03:00:00,0.0%,0.0%,0.5%
72,2021-01-26,03:00  ,0.0%,,0.5%
73,2021-01-12,03:00:00,0.5%,0.6%,-0.5%
74,2020-12-29,03:00  ,0.6%,,-0.5%
75,2020-12-15,03:00:00,-0.5%,-0.5%,-0.8%
76,2020-11-30,03:00  ,-0.5%,,-0.8%
77,2020-11-11,03:00:00,-0.8%,-0.8%,-0.8%
78,2020-10-30,03:00  ,-0.8%,,-0.8%
79,2020-10-13,03:00:00,-0.8%,-0.9%,-0.4%
80,2020-09-29,03:00  ,-0.9%,-0.6%,-0.4%
81,2020-09-14,02:00:00,-0.4%,-0.4%,-0.5%
82,2020-08-29,02:00  ,-0.4%,-0.5%,-0.5%
83,2020-08-11,02:00:00,-0.5%,-0.5%,-0.6%
84,2020-07-31,02:00  ,-0.5%,-0.6%,-0.6%
85,2020-07-13,02:00:00,-0.6%,-0.6%,-0.3%
86,2020-06-30,02:00  ,-0.6%,-0.3%,-0.3%
87,2020-06-14,02:00:00,-0.3%,-0.3%,-0.9%
88,2020-05-29,02:00  ,-0.3%,,-0.9%
89,2020-05-12,02:00:00,-0.9%,-1.0%,-0.7%
90,2020-04-28,02:00  ,-1.0%,,-0.7%
91,2020-04-14,02:00:00,-0.7%,-0.7%,0.0%
92,2020-03-30,02:00  ,-0.7%,,0.0%
93,2020-03-15,02:00:00,0.0%,0.1%,0.7%
94,2020-02-29,02:00  ,0.1%,0.5%,0.7%
95,2020-02-13,03:00:00,0.7%,0.8%,1.1%
96,2020-01-27,03:00  ,0.8%,1.1%,1.1%
97,2020-01-14,03:00:00,1.1%,1.1%,0.8%
