,Release Date,Time,Actual,Forecast,Previous
0,2024-02-04,10:00:00,,,64.86%
1,2024-01-05,10:00:00,64.86%,64.52%,64.77%
2,2023-12-03,10:00:00,64.77%,65.1%,61.98%
3,2023-11-04,10:00:00,61.98%,63.00%,61.36%
4,2023-10-03,10:00:00,61.36%,62.12%,61.53%
5,2023-09-03,10:00:00,61.53%,61.7%,58.94%
6,2023-08-04,10:00:00,58.94%,55.9%,47.83%
7,2023-07-03,10:00:00,47.83%,47.3%,38.21%
8,2023-06-05,10:00:00,38.21%,39.47%,39.59%
9,2023-05-05,10:00:00,39.59%,39.2%,43.68%
10,2023-04-03,10:00:00,43.68%,51.33%,50.51%
11,2023-03-03,10:00:00,50.51%,51.33%,55.18%
12,2023-02-03,10:00:00,55.18%,55.5%,57.68%
13,2023-01-03,10:00:00,57.68%,53.5%,64.27%
14,2022-12-03,10:00:00,64.27%,66.53%,84.39%
15,2022-11-05,10:00:00,84.39%,84.65%,85.51%
16,2022-10-03,10:00:00,85.51%,85.6%,83.45%
17,2022-09-03,10:00:00,83.45%,84.63%,80.21%
18,2022-08-05,10:00:00,80.21%,81.22%,79.6%
19,2022-07-03,10:00:00,79.6%,80.5%,78.62%
20,2022-06-04,10:00:00,78.62%,78.35%,73.5%
21,2022-05-03,10:00:00,73.5%,76.55%,69.97%
22,2022-04-05,10:00:00,69.97%,68.00%,61.14%
23,2022-03-04,10:00:00,61.14%,61.6%,54.44%
24,2022-02-03,10:00:00,54.44%,52.95%,48.69%
25,2022-01-03,10:00:00,48.69%,46.68%,36.08%
26,2021-12-03,10:00:00,36.08%,30.6%,21.31%
27,2021-11-03,10:00:00,21.31%,20.7%,19.89%
28,2021-10-03,10:00:00,19.89%,20.4%,19.58%
29,2021-09-04,10:00:00,19.58%,19.7%,19.25%
30,2021-08-03,10:00:00,19.25%,18.7%,18.95%
31,2021-07-03,10:00:00,18.95%,18.5%,17.53%
32,2021-06-05,10:00:00,17.53%,17.00%,16.59%
33,2021-05-03,10:00:00,16.59%,17.25%,17.14%
34,2021-04-03,10:00:00,17.14%,17.3%,16.19%
35,2021-03-05,10:00:00,16.19%,16.11%,15.61%
36,2021-02-03,10:00:00,15.61%,15.39%,14.97%
37,2021-01-03,10:00:00,14.97%,14.68%,14.6%
38,2020-12-04,10:00:00,14.6%,,14.03%
39,2020-11-03,10:00:00,14.03%,12.6%,11.89%
40,2020-10-03,10:00:00,11.89%,11.9%,11.75%
41,2020-09-05,10:00:00,11.75%,12.13%,11.77%
42,2020-08-03,10:00:00,11.77%,11.91%,11.76%
43,2020-07-04,10:00:00,11.76%,12.1%,12.62%
44,2020-06-03,10:00:00,12.62%,12.09%,11.39%
45,2020-05-03,10:00:00,11.39%,11.00%,10.94%
46,2020-04-04,10:00:00,10.94%,10.88%,11.86%
47,2020-03-03,10:00:00,11.86%,11.85%,12.37%
48,2020-02-03,10:00:00,12.37%,12.7%,12.15%
49,2020-01-03,10:00:00,12.15%,11.86%,11.84%
