,Release Date,Time,Actual,Forecast,Previous
0,2024-01-14,02:00:00,4.0%,4.1%,4.0%
1,2023-12-17,02:00:00,4.0%,3.8%,3.9%
2,2023-11-20,02:00:00,3.9%,4.3%,4.6%
3,2023-10-15,02:00:00,4.6%,4.8%,6.7%
4,2023-09-18,01:00:00,6.7%,6.6%,6.7%
5,2023-08-20,01:00:00,6.7%,7.0%,6.8%
6,2023-07-16,01:00:00,6.8%,6.8%,7.9%
7,2023-06-19,01:00:00,7.9%,8.2%,8.7%
8,2023-05-21,01:00:00,8.7%,8.4%,8.7%
9,2023-04-24,01:00:00,8.7%,8.3%,10.1%
10,2023-03-19,01:00:00,10.1%,9.8%,10.4%
11,2023-02-22,02:00:00,10.4%,9.9%,10.1%
12,2023-01-15,02:00:00,10.1%,10.3%,10.5%
13,2022-12-18,02:00:00,10.5%,10.5%,10.7%
14,2022-11-14,02:00:00,10.7%,10.9%,11.1%
15,2022-10-16,02:00:00,11.1%,10.7%,10.1%
16,2022-09-19,01:00:00,10.1%,10.0%,9.9%
17,2022-08-14,01:00:00,9.9%,10.2%,10.1%
18,2022-07-17,01:00:00,10.1%,9.8%,9.4%
19,2022-06-20,01:00:00,9.4%,9.3%,9.1%
20,2022-05-22,01:00:00,9.1%,9.1%,9.0%
21,2022-04-18,01:00:00,9.0%,9.1%,7.0%
22,2022-03-13,01:00:00,7.0%,6.7%,6.2%
23,2022-02-23,02:00:00,6.2%,5.9%,5.5%
24,2022-01-16,02:00:00,5.5%,5.4%,5.4%
25,2021-12-19,02:00:00,5.4%,5.2%,5.1%
26,2021-11-15,02:00:00,5.1%,4.7%,4.2%
27,2021-10-17,02:00:00,4.2%,3.9%,3.1%
28,2021-09-20,01:00:00,3.1%,3.2%,3.2%
29,2021-08-15,01:00:00,3.2%,2.9%,2.0%
30,2021-07-18,01:00:00,2.0%,2.3%,2.5%
31,2021-06-14,01:00:00,2.5%,2.2%,2.1%
32,2021-05-16,01:00:00,2.1%,1.8%,1.5%
33,2021-04-19,01:00:00,1.5%,1.4%,0.7%
34,2021-03-21,01:00:00,0.7%,0.8%,0.4%
35,2021-02-24,02:00:00,0.4%,0.8%,0.7%
36,2021-01-17,02:00:00,0.7%,0.6%,0.6%
37,2020-12-20,02:00:00,0.6%,0.5%,0.3%
38,2020-11-16,02:00:00,0.3%,0.6%,0.7%
39,2020-10-18,02:00:00,0.7%,0.6%,0.5%
40,2020-09-21,01:00:00,0.5%,0.5%,0.2%
41,2020-08-16,01:00:00,0.2%,0.1%,1.0%
42,2020-07-19,01:00:00,1.0%,0.6%,0.6%
43,2020-06-15,01:00:00,0.6%,0.4%,0.5%
44,2020-05-17,01:00:00,0.5%,0.5%,0.8%
45,2020-04-20,01:00:00,0.8%,0.9%,1.5%
46,2020-03-22,01:00:00,1.5%,1.5%,1.7%
47,2020-02-25,02:00:00,1.7%,1.7%,1.8%
48,2020-01-19,04:30:00,1.8%,1.6%,1.3%
