,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,02.01.2020,1117.0,1117.0,1117.0,1117.0,,"-1,67%"
1,03.01.2020,1110.0,1110.0,1110.0,1110.0,,"-0,63%"
2,06.01.2020,1178.0,1178.0,1178.0,1178.0,,"6,13%"
3,07.01.2020,1235.0,1235.0,1235.0,1235.0,,"4,84%"
4,08.01.2020,1240.0,1240.0,1240.0,1240.0,,"0,40%"
5,09.01.2020,1242.0,1242.0,1242.0,1242.0,,"0,16%"
6,10.01.2020,1199.0,1199.0,1199.0,1199.0,,"-3,46%"
7,13.01.2020,1102.0,1102.0,1102.0,1102.0,,"-8,09%"
8,14.01.2020,1099.0,1099.0,1099.0,1099.0,,"-0,27%"
9,15.01.2020,1083.0,1083.0,1083.0,1083.0,,"-1,46%"
10,16.01.2020,1202.0,1202.0,1202.0,1202.0,,"10,99%"
11,17.01.2020,1149.0,1149.0,1149.0,1149.0,,"-4,41%"
12,20.01.2020,1121.0,1121.0,1121.0,1121.0,,"-2,44%"
13,21.01.2020,1147.0,1147.0,1147.0,1147.0,,"2,32%"
14,22.01.2020,1133.0,1133.0,1133.0,1133.0,,"-1,22%"
15,23.01.2020,1071.0,1071.0,1071.0,1071.0,,"-5,47%"
16,24.01.2020,1058.0,1058.0,1058.0,1058.0,,"-1,21%"
17,27.01.2020,1013.0,1013.0,1013.0,1013.0,,"-4,25%"
18,28.01.2020,1094.0,1094.0,1094.0,1094.0,,"8,00%"
19,29.01.2020,1130.0,1130.0,1130.0,1130.0,,"3,29%"
20,30.01.2020,1149.0,1149.0,1149.0,1149.0,,"1,68%"
21,31.01.2020,1058.0,1058.0,1058.0,1058.0,,"-7,92%"
22,03.02.2020,1052.0,1052.0,1052.0,1052.0,,"-0,57%"
23,04.02.2020,1056.0,1056.0,1056.0,1056.0,,"0,38%"
24,05.02.2020,1073.0,1073.0,1073.0,1073.0,,"1,61%"
25,06.02.2020,1118.0,1118.0,1118.0,1118.0,,"4,19%"
26,07.02.2020,1173.0,1173.0,1173.0,1173.0,,"4,92%"
27,10.02.2020,1119.0,1119.0,1119.0,1119.0,,"-4,60%"
28,11.02.2020,1081.0,1081.0,1081.0,1081.0,,"-3,40%"
29,12.02.2020,1043.0,1043.0,1043.0,1043.0,,"-3,52%"
30,13.02.2020,1036.0,1036.0,1036.0,1036.0,,"-0,67%"
31,14.02.2020,1052.0,1052.0,1052.0,1052.0,,"1,54%"
32,17.02.2020,1065.0,1065.0,1065.0,1065.0,,"1,24%"
33,18.02.2020,1091.0,1091.0,1091.0,1091.0,,"2,44%"
34,19.02.2020,1107.0,1107.0,1107.0,1107.0,,"1,47%"
35,20.02.2020,1099.0,1099.0,1099.0,1099.0,,"-0,72%"
36,21.02.2020,1191.0,1191.0,1191.0,1191.0,,"8,37%"
37,24.02.2020,1111.0,1111.0,1111.0,1111.0,,"-6,72%"
38,25.02.2020,1074.0,1074.0,1074.0,1074.0,,"-3,33%"
39,26.02.2020,1067.0,1067.0,1067.0,1067.0,,"-0,65%"
40,27.02.2020,1075.0,1075.0,1075.0,1075.0,,"0,75%"
41,28.02.2020,1097.0,1097.0,1097.0,1097.0,,"2,05%"
42,02.03.2020,1094.0,1094.0,1094.0,1094.0,,"-0,27%"
43,03.03.2020,1074.0,1074.0,1074.0,1074.0,,"-1,83%"
44,04.03.2020,1109.0,1109.0,1109.0,1109.0,,"3,26%"
45,05.03.2020,1091.0,1091.0,1091.0,1091.0,,"-1,62%"
46,06.03.2020,1094.0,1094.0,1094.0,1094.0,,"0,27%"
47,09.03.2020,1097.0,1097.0,1097.0,1097.0,,"0,27%"
48,10.03.2020,1098.0,1098.0,1098.0,1098.0,,"0,09%"
49,11.03.2020,1098.0,1098.0,1098.0,1098.0,,"0,00%"
50,12.03.2020,1084.0,1084.0,1084.0,1084.0,,"-1,28%"
51,13.03.2020,1073.0,1073.0,1073.0,1073.0,,"-1,01%"
52,16.03.2020,1077.0,1077.0,1077.0,1077.0,,"0,37%"
53,17.03.2020,1064.0,1064.0,1064.0,1064.0,,"-1,21%"
54,18.03.2020,963.0,963.0,963.0,963.0,,"-9,49%"
55,19.03.2020,984.0,984.0,984.0,984.0,,"2,18%"
56,20.03.2020,993.0,993.0,993.0,993.0,,"0,91%"
57,23.03.2020,997.0,997.0,997.0,997.0,,"0,40%"
58,24.03.2020,957.0,957.0,957.0,957.0,,"-4,01%"
59,25.03.2020,932.0,932.0,932.0,932.0,,"-2,61%"
60,26.03.2020,973.0,973.0,973.0,973.0,,"4,40%"
61,27.03.2020,956.0,956.0,956.0,956.0,,"-1,75%"
62,30.03.2020,945.0,945.0,945.0,945.0,,"-1,15%"
63,31.03.2020,905.0,905.0,905.0,905.0,,"-4,23%"
64,01.04.2020,878.0,878.0,878.0,878.0,,"-2,98%"
65,02.04.2020,877.0,877.0,877.0,877.0,,"-0,11%"
66,03.04.2020,936.0,936.0,936.0,936.0,,"6,73%"
67,06.04.2020,951.0,951.0,951.0,951.0,,"1,60%"
68,07.04.2020,925.0,925.0,925.0,925.0,,"-2,73%"
69,08.04.2020,902.0,902.0,902.0,902.0,,"-2,49%"
70,09.04.2020,889.0,889.0,889.0,889.0,,"-1,44%"
71,10.04.2020,885.0,885.0,885.0,885.0,,"-0,45%"
72,13.04.2020,932.0,932.0,932.0,932.0,,"5,31%"
73,14.04.2020,923.0,923.0,923.0,923.0,,"-0,97%"
74,15.04.2020,976.0,976.0,976.0,976.0,,"5,74%"
75,16.04.2020,931.0,931.0,931.0,931.0,,"-4,61%"
76,17.04.2020,921.0,921.0,921.0,921.0,,"-1,07%"
77,20.04.2020,949.0,949.0,949.0,949.0,,"3,04%"
78,21.04.2020,950.0,950.0,950.0,950.0,,"0,11%"
79,22.04.2020,942.0,942.0,942.0,942.0,,"-0,84%"
80,24.04.2020,806.0,806.0,806.0,806.0,,"-14,44%"
