Fund Codes,Tema
AAV,Yerli Hisse
ABU,Bankacılık
ACC,Yerli Hisse
ACK,Yerli Hisse
ADP,"Tematik, Yerli Hisse, Bankacılık"
AES,Yabancı Fonlar
AFA,"Yabancı Fonlar, Yabancı Hisse"
AFO,Altın
AFS,"Yabancı Hisse, Tematik, Sağlık, Yabancı Fonlar"
AFT,"Yabancı Fonlar, Yabancı Hisse, Teknoloji"
AFV,"Yabancı Fonlar, Yabancı Hisse"
AHI,Yerli Hisse
AK3,Yerli Hisse
AKE,Eurobond
AKU,"Tematik, Yerli Hisse"
ALC,"Tematik, Yerli Hisse"
AOY,"Yabancı Fonlar, Yabancı Hisse"
APJ,Tematik
ARE,Yabancı Fonlar
ASJ,Yerli Hisse
AYA,Yerli Hisse
BID,"Tematik, Yerli Hisse"
BSE,Tematik
BST,Bankacılık
BTE,"Tematik, Teknoloji, Oyun"
BUY,Yerli Hisse
BVV,Teknoloji
DAH,Yerli Hisse
DBA,Altın
DBH,Eurobond
DDA,Altın
DFC,"Tematik, Gıda"
DFD,Emtia
DHJ,"Teknoloji, Yerli Hisse"
DHM,"Tematik, Sürdürülebilirlik"
DKH,Yerli Hisse
DLD,"Tematik, Sürdürülebilirlik, Yerli Hisse"
DLG,"Tematik, Sürdürülebilirlik"
DMG,Gümüş
DP8,Altın
DPT,"Tematik, Yerli Hisse"
DTL,"Tematik, Yerli Hisse"
DTZ,Teknoloji
DVT,"Tematik, Teknoloji, Metaverse, Dijital"
DYN,"Tematik, Teknoloji, Elektrikli Araç"
DZE,"Tematik, Yerli Hisse"
EC2,Yerli Hisse
EID,Yerli Hisse
ELZ,Yerli Hisse
ESG,"Tematik, Sürdürülebilirlik"
ESP,Emtia
FIB,Altın
FJB,"Tematik, Teknoloji"
FPE,Eurobond
FPH,Yerli Hisse
FUA,Yerli Hisse
FUB,Eurobond
FYD,Yerli Hisse
GAE,"Tematik, Yerli Hisse"
GAF,Yerli Hisse
GBC,Yabancı Fonlar
GBG,"Yabancı Fonlar, Yabancı Hisse"
GBP,Altın
GBV,"Tematik, Teknoloji"
GBZ,Emtia
GGK,Altın
GGP,Altın
GHS,Yerli Hisse
GIE,"Tematik, Yerli Hisse"
GJO,Altın
GKV,Yerli Hisse
GL1,Yerli Hisse
GMC,Gümüş
GMR,Yerli Hisse
GOH,"Tematik, Yerli Hisse"
GPA,Eurobond
GSP,Yerli Hisse
GTA,Altın
GTM,Yerli Hisse
GTZ,Gümüş
GUH,"Yabancı Fonlar, Teknoloji"
GUM,Gümüş
GVA,"Tematik, Elektrikli Araç"
GZE,Emtia
GZG,"Tematik, Sağlık"
GZH,Tematik
GZL,"Tematik, Gıda"
GZR,"Tematik, Sürdürülebilirlik, Yerli Hisse"
GZV,"Tematik, Sürdürülebilirlik"
GZY,Tematik
HBF,Altın
HBU,"Tematik, Yerli Hisse"
HGM,Yerli Hisse
HKH,Yerli Hisse
HKP,Yerli Hisse
HMS,"Tematik, Sürdürülebilirlik, Yerli Hisse"
HOA,Teknoloji
HOY,Yabancı Fonlar
HVS,Yerli Hisse
HVZ,Yerli Hisse
ICA,Altın
ICF,Yerli Hisse
ICZ,"Teknoloji, Yerli Hisse"
IDH,"Tematik, Yerli Hisse"
IFN,"Tematik, Sürdürülebilirlik, Yerli Hisse"
IHA,Yerli Hisse
IHK,Yerli Hisse
IHT,Yerli Hisse
IIH,Yerli Hisse
IJB,"Tematik, Oyun, Dijital"
IJC,Teknoloji
IJP,Teknoloji
IJT,"Tematik, Gıda"
IJZ,"Tematik, Teknoloji"
IKL,"Tematik, Sağlık"
INH,Bankacılık
IOG,Gümüş
IPJ,"Tematik, Elektrikli Araç"
IPV,Eurobond
IRT,Teknoloji
ITP,Teknoloji
ITV,Altın
IUH,Teknoloji
IUT,"Tematik, Sürdürülebilirlik"
IVF,Yerli Hisse
IVY,"Tematik, Teknoloji"
IZS,Altın
KAV,Altın
KIB,Teknoloji
KIF,Emtia
KJK,Yabancı Fonlar
KPC,Yerli Hisse
KPU,Yerli Hisse
KSR,"Tematik, Sürdürülebilirlik"
KUT,Kıymetli Maden
KYA,Yerli Hisse
KZL,Altın
MAC,Yerli Hisse
MET,"Tematik, Teknoloji, Metaverse"
MJG,Gümüş
MKG,Altın
MMH,"Tematik, Yerli Hisse"
MPS,Yerli Hisse
MTS,"Tematik, Gıda, Sürdürülebilirlik"
MTV,"Tematik, Teknoloji, Metaverse, Dijital"
MTX,"Tematik, Teknoloji, Metaverse, Dijital"
NHY,Yerli Hisse
NJF,Altın
NNF,Yerli Hisse
OGD,Altın
OHB,Yerli Hisse
OHK,Yerli Hisse
OJA,Altın
OJK,Altın
OJT,Teknoloji
OLD,Tematik
OPH,Yerli Hisse
OPI,Yerli Hisse
OPZ,Altın
OTJ,Kıymetli Maden
OVD,Emtia
PAI,Bankacılık
PAL,Altın
PIL,Teknoloji
PKF,Altın
PPB,Yerli Hisse
RAF,Altın
RBA,Altın
RBH,Yerli Hisse
RHS,Yerli Hisse
RJG,Altın
RPG,Altın
RPM,"Tematik, Teknoloji, Sağlık"
RTG,Teknoloji
ST1,Yerli Hisse
TAR,"Tematik, Teknoloji, Gıda"
TAU,"Tematik, Yerli Hisse, Bankacılık"
TBE,"Tematik, Teknoloji, Sağlık"
TBP,Bankacılık
TCA,Altın
TDG,Yabancı Fonlar
TFF,"Yabancı Fonlar, Teknoloji"
TGE,"Yabancı Fonlar, Emtia"
TGR,Tematik
TGX,"Tematik, Teknoloji, Gıda"
THD,Yerli Hisse
THV,Altın
TI2,Yerli Hisse
TI3,"Tematik, Yerli Hisse, Bankacılık"
TIE,"Tematik, Yerli Hisse"
TIP,Bankacılık
TJF,"Tematik, Sürdürülebilirlik"
TJT,Altın
TKF,Yerli Hisse
TLE,Yabancı Fonlar
TLH,Yerli Hisse
TLZ,Yerli Hisse
TMG,"Yabancı Fonlar, Yabancı Hisse"
TNI,Bankacılık
TPE,Eurobond
TPL,Eurobond
TPR,Yerli Hisse
TTA,Altın
TTE,"Tematik, Teknoloji, Yerli Hisse"
TUA,Altın
TYH,Yerli Hisse
TZD,Yerli Hisse
UAP,Altın
UP1,Altın
UPH,Yerli Hisse
