Fon Kodu	Tarih	Attribute	Value
AAK	2024-02-04	Fon Alış Valörü	1.0
AAK	2024-02-04	Max. Alış İşlem Miktarı	
AAK	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AAK	2024-02-04	İşlem Başlangıç Saati	09:00
AAK	2024-02-04	Fonun Risk Değeri	4
AAK	2024-02-04	Max. Satış İşlem Miktarı	
AAK	2024-02-04	Fonun Faiz İçeriği	
AAK	2024-02-04	Giriş Komisyonu	
AAK	2024-02-04	Min. Satış İşlem Miktarı	1
AAK	2024-02-04	Fon Satış Valörü	2.0
AAK	2024-02-04	Çıkış Komisyonu	
AAK	2024-02-04	Min. Alış İşlem Miktarı	1
AAK	2024-02-04	Son İşlem Saati	17:30
AAK	2024-02-04	Kodu	AAK
AAK	2024-02-04	ISIN Kodu	TRMAF1WWWWW4
AAL	2024-02-04	Çıkış Komisyonu	
AAL	2024-02-04	Son İşlem Saati	13:30
AAL	2024-02-04	ISIN Kodu	TRMAALWWWWW5
AAL	2024-02-04	Max. Satış İşlem Miktarı	
AAL	2024-02-04	Kodu	AAL
AAL	2024-02-04	Fonun Faiz İçeriği	
AAL	2024-02-04	Fonun Risk Değeri	1
AAL	2024-02-04	Min. Satış İşlem Miktarı	10
AAL	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AAL	2024-02-04	Max. Alış İşlem Miktarı	
AAL	2024-02-04	İşlem Başlangıç Saati	09:00
AAL	2024-02-04	Min. Alış İşlem Miktarı	10
AAL	2024-02-04	Giriş Komisyonu	
AAL	2024-02-04	Fon Alış Valörü	0.0
AAL	2024-02-04	Fon Satış Valörü	0.0
AAS	2024-02-04	Son İşlem Saati	17:30
AAS	2024-02-04	Min. Satış İşlem Miktarı	1
AAS	2024-02-04	Kodu	AAS
AAS	2024-02-04	Max. Satış İşlem Miktarı	
AAS	2024-02-04	Platform İşlem Durumu	TEFAS'ta işlem görüyor
AAS	2024-02-04	Max. Alış İşlem Miktarı	
AAS	2024-02-04	Fon Alış Valörü	1.0
AAS	2024-02-04	Fon Satış Valörü	3.0
AAS	2024-02-04	ISIN Kodu	TRYATAM00028
AAS	2024-02-04	Giriş Komisyonu	
AAS	2024-02-04	Min. Alış İşlem Miktarı	100
AAS	2024-02-04	Fonun Risk Değeri	6
AAS	2024-02-04	İşlem Başlangıç Saati	09:00
AAS	2024-02-04	Fonun Faiz İçeriği	
AAS	2024-02-04	Çıkış Komisyonu	
AAV	2024-02-04	ISIN Kodu	TRYATAM00069
AAV	2024-02-04	Fon Alış Valörü	1.0
