Category	Value	Fon Kodu	Tarih
Hisse Senedi	97,82	RTH	2024-02-04
Takasbank Para Piyasası	1,07	RTH	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,11	RTH	2024-02-04
Yabancı Hisse Senedi	63,31	DVT	2024-02-04
Finansman Bonosu	1,23	DVT	2024-02-04
Hisse Senedi	19,46	DVT	2024-02-04
Takasbank Para Piyasası	1,24	DVT	2024-02-04
Yatırım Fonları Katılma Payları	7,74	DVT	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,5	DVT	2024-02-04
Mevduat (Döviz)	3,55	DVT	2024-02-04
Mevduat (TL)	1,97	DVT	2024-02-04
Hisse Senedi	92,82	EC2	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,18	EC2	2024-02-04
Hisse Senedi	90,19	IIH	2024-02-04
Takasbank Para Piyasası	3,27	IIH	2024-02-04
Yatırım Fonları Katılma Payları	6,54	IIH	2024-02-04
Hisse Senedi	43,24	IIE	2024-02-04
Varlığa Dayalı Menkul Kıymetler	2,08	IIE	2024-02-04
Finansman Bonosu	24,29	IIE	2024-02-04
Özel Sektör Kira Sertifikaları	2,74	IIE	2024-02-04
Yatırım Fonları Katılma Payları	14,13	IIE	2024-02-04
Özel Sektör Tahvili	4,13	IIE	2024-02-04
Vadeli İşlemler Nakit Teminatları	9,39	IIE	2024-02-04
Hisse Senedi	88,62	HKR	2024-02-04
Takasbank Para Piyasası	4,53	HKR	2024-02-04
Vadeli İşlemler Nakit Teminatları	6,85	HKR	2024-02-04
Hisse Senedi	49,89	IPB	2024-02-04
Özel Sektör Tahvili	0,34	IPB	2024-02-04
Yabancı Hisse Senedi	27,94	IPB	2024-02-04
Finansman Bonosu	0,42	IPB	2024-02-04
Yatırım Fonları Katılma Payları	15,56	IPB	2024-02-04
Özel Sektör Kira Sertifikaları	1,6	IPB	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,25	IPB	2024-02-04
Hisse Senedi	77,24	NHY	2024-02-04
Vadeli İşlemler Nakit Teminatları	22,76	NHY	2024-02-04
Hisse Senedi	92,93	ADP	2024-02-04
Mevduat (TL)	0,16	ADP	2024-02-04
Takasbank Para Piyasası	4,54	ADP	2024-02-04
Devlet Tahvili	0,44	ADP	2024-02-04
Borsa Yatırım Fonları Katılma Payları	1,93	ADP	2024-02-04
Hisse Senedi	95,71	YZH	2024-02-04
Takasbank Para Piyasası	4,29	YZH	2024-02-04
Hisse Senedi	94,89	TAU	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,98	TAU	2024-02-04
Takasbank Para Piyasası	4,13	TAU	2024-02-04
Hisse Senedi	86,07	RHS	2024-02-04
Diğer	0,78	RHS	2024-02-04
Yatırım Fonları Katılma Payları	7,21	RHS	2024-02-04
Takasbank Para Piyasası	5,94	RHS	2024-02-04
Hisse Senedi	69,47	NRC	2024-02-04
Yatırım Fonları Katılma Payları	9,66	NRC	2024-02-04
Vadeli İşlemler Nakit Teminatları	20,87	NRC	2024-02-04
Hisse Senedi	88,23	AK3	2024-02-04
Devlet Tahvili	0,33	AK3	2024-02-04
Takasbank Para Piyasası	7,74	AK3	2024-02-04
Mevduat (TL)	0,38	AK3	2024-02-04
Borsa Yatırım Fonları Katılma Payları	1,78	AK3	2024-02-04
