,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,01.01.2020,34207.0,34102.0,34268.0,34180.0,,"0,01%"
1,02.01.2020,34452.0,34464.0,34667.0,34139.0,,"0,72%"
2,03.01.2020,34654.0,34548.0,35069.0,34511.0,,"0,59%"
3,06.01.2020,34747.0,34826.0,35531.0,34615.0,,"0,27%"
4,07.01.2020,35539.0,35256.0,35727.0,34454.0,,"2,28%"
5,08.01.2020,34643.0,34599.0,36159.0,34297.0,,"-2,52%"
6,09.01.2020,33743.0,33723.0,34578.0,33608.0,,"-2,60%"
7,10.01.2020,34218.0,33863.0,34293.0,33727.0,,"1,41%"
8,13.01.2020,33822.0,33850.0,34168.0,33768.0,,"-1,16%"
9,14.01.2020,33659.0,33609.0,33833.0,33426.0,,"-0,48%"
10,15.01.2020,34009.0,34031.0,34071.0,33604.0,,"1,04%"
11,16.01.2020,33685.0,33733.0,34102.0,33732.0,,"-0,95%"
12,17.01.2020,34135.0,33811.0,34361.0,33724.0,,"1,34%"
13,20.01.2020,34344.0,34290.0,34418.0,34114.0,,"0,61%"
14,21.01.2020,33910.0,33880.0,34588.0,33637.0,,"-1,26%"
15,22.01.2020,34019.0,33919.0,34129.0,33763.0,,"0,32%"
16,23.01.2020,33866.0,33886.0,34127.0,33582.0,,"-0,45%"
17,24.01.2020,34577.0,33882.0,34670.0,33853.0,,"2,10%"
18,27.01.2020,34507.0,34512.0,35057.0,34503.0,,"-0,20%"
19,28.01.2020,33366.0,33308.0,34632.0,33320.0,,"-3,31%"
20,29.01.2020,33576.0,33532.0,33700.0,33216.0,,"0,63%"
21,30.01.2020,34244.0,34241.0,34704.0,33668.0,,"1,99%"
22,31.01.2020,34686.0,34275.0,34791.0,34208.0,,"1,29%"
23,03.02.2020,34016.0,33938.0,34759.0,33872.0,,"-1,93%"
24,04.02.2020,33764.0,33747.0,34221.0,33669.0,,"-0,74%"
25,05.02.2020,33828.0,33824.0,34111.0,33667.0,,"0,19%"
26,06.02.2020,34271.0,34220.0,34416.0,33878.0,,"1,31%"
27,07.02.2020,34210.0,34304.0,34563.0,34040.0,,"-0,18%"
28,10.02.2020,34284.0,34291.0,34530.0,34042.0,,"0,22%"
29,11.02.2020,34050.0,34041.0,34514.0,33988.0,,"-0,68%"
30,12.02.2020,33930.0,33919.0,34228.0,33843.0,,"-0,35%"
31,13.02.2020,34224.0,34196.0,34555.0,34043.0,,"0,87%"
32,14.02.2020,34551.0,34302.0,34682.0,34248.0,,"0,96%"
33,17.02.2020,34582.0,34504.0,34808.0,34479.0,,"0,09%"
34,18.02.2020,35338.0,35356.0,35552.0,34631.0,,"2,19%"
35,19.02.2020,36006.0,35967.0,36099.0,35407.0,,"1,89%"
36,20.02.2020,36063.0,35932.0,36157.0,35675.0,,"0,16%"
37,21.02.2020,36070.0,36070.0,36628.0,36052.0,,"0,02%"
38,24.02.2020,36568.0,36591.0,37400.0,36458.0,,"1,38%"
39,25.02.2020,35526.0,35451.0,36673.0,35345.0,,"-2,85%"
40,26.02.2020,35408.0,35419.0,36047.0,35268.0,,"-0,33%"
41,27.02.2020,35501.0,35402.0,35929.0,35149.0,,"0,26%"
42,28.02.2020,33474.0,35511.0,35681.0,32918.0,,"-5,71%"
43,02.03.2020,33560.0,33399.0,34181.0,33021.0,,"0,26%"
44,03.03.2020,33846.0,33747.0,34035.0,33202.0,,"0,85%"
45,04.03.2020,33568.0,33542.0,34138.0,33419.0,,"-0,82%"
46,05.03.2020,34162.0,34164.0,34351.0,33538.0,,"1,77%"
47,06.03.2020,34027.0,34323.0,34418.0,33460.0,,"-0,40%"
