,Kod,Isim,ForexBuying,ForexSelling,BanknoteBuying,BanknoteSelling,CrossRateUSD,CrossRateOther,Tarih
0,USD,ABD DOLARI,5.9478,5.9585,5.9436,5.9674,,,2020-01-02
1,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2439,,,,,1.38481,2020-01-02
2,QAR,KATAR RİYALİ,1.6243,1.6456,,,3.6411,,2020-01-02
3,PKR,PAKİSTAN RUPİSİ,0.03819,0.03869,,,154.89,,2020-01-02
4,CNY,ÇİN YUANI,0.84938,0.86050,,,6.9632,,2020-01-02
5,IRR,İRAN RİYALİ,0.01408,0.01427,,,42000,,2020-01-02
6,RON,RUMEN LEYİ,1.3854,1.4036,,,4.2690,,2020-01-02
7,BGN,BULGAR LEVASI,3.3877,3.4320,,,1.7459,,2020-01-02
8,JPY,JAPON YENİ,5.4543,5.4905,5.4342,5.5113,108.78,,2020-01-02
9,SAR,SUUDİ ARABİSTAN RİYALİ,1.5856,1.5884,1.5737,1.6003,3.7512,,2020-01-02
10,RUB,RUS RUBLESİ,0.09572,0.09697,,,61.79,,2020-01-02
11,KWD,KUVEYT DİNARI,19.5085,19.7638,19.2159,20.0602,,3.2985,2020-01-02
12,NOK,NORVEÇ KRONU,0.67541,0.67995,0.67494,0.68152,8.7845,,2020-01-02
13,DKK,DANİMARKA KRONU,0.89050,0.89488,0.88988,0.89693,6.6688,,2020-01-02
14,EUR,EURO,6.6630,6.6750,6.6584,6.6850,,1.1203,2020-01-02
15,GBP,İNGİLİZ STERLİNİ,7.8464,7.8873,7.8409,7.8991,,1.3215,2020-01-02
16,AUD,AVUSTRALYA DOLARI,4.1521,4.1792,4.1330,4.2043,1.4291,,2020-01-02
17,SEK,İSVEÇ KRONU,0.63323,0.63979,0.63279,0.64126,9.3527,,2020-01-02
18,CAD,KANADA DOLARI,4.5735,4.5941,4.5566,4.6116,1.2987,,2020-01-02
19,CHF,İSVİÇRE FRANGI,6.1180,6.1572,6.1088,6.1665,0.9699,,2020-01-02
20,JPY,JAPON YENİ,5.5057,5.5422,5.4854,5.5632,108.04,,2020-01-03
21,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2485,,,,,1.38210,2020-01-03
22,QAR,KATAR RİYALİ,1.6254,1.6467,,,3.6479,,2020-01-03
23,PKR,PAKİSTAN RUPİSİ,0.03828,0.03878,,,154.91,,2020-01-03
24,CNY,ÇİN YUANI,0.85037,0.86150,,,6.9726,,2020-01-03
25,IRR,İRAN RİYALİ,0.01412,0.01430,,,42000,,2020-01-03
26,RON,RUMEN LEYİ,1.3824,1.4005,,,4.2892,,2020-01-03
27,BGN,BULGAR LEVASI,3.3793,3.4236,,,1.7546,,2020-01-03
28,SAR,SUUDİ ARABİSTAN RİYALİ,1.5896,1.5924,1.5777,1.6044,3.7511,,2020-01-03
29,RUB,RUS RUBLESİ,0.09557,0.09682,,,62.04,,2020-01-03
30,KWD,KUVEYT DİNARI,19.5592,19.8152,19.2658,20.1124,,3.2988,2020-01-03
31,AUD,AVUSTRALYA DOLARI,4.1318,4.1587,4.1128,4.1837,1.4397,,2020-01-03
32,DKK,DANİMARKA KRONU,0.88803,0.89239,0.88741,0.89444,6.7041,,2020-01-03
33,EUR,EURO,6.6464,6.6584,6.6417,6.6683,,1.1147,2020-01-03
34,GBP,İNGİLİZ STERLİNİ,7.7900,7.8306,7.7845,7.8423,,1.3087,2020-01-03
35,USD,ABD DOLARI,5.9627,5.9734,5.9585,5.9824,,,2020-01-03
36,CHF,İSVİÇRE FRANGI,6.1179,6.1572,6.1088,6.1665,0.9724,,2020-01-03
37,SEK,İSVEÇ KRONU,0.62990,0.63642,0.62946,0.63788,9.4259,,2020-01-03
38,CAD,KANADA DOLARI,4.5868,4.6075,4.5698,4.6250,1.2982,,2020-01-03
39,NOK,NORVEÇ KRONU,0.67388,0.67841,0.67341,0.67997,8.8266,,2020-01-03
40,SAR,SUUDİ ARABİSTAN RİYALİ,1.5903,1.5932,1.5784,1.6051,3.7514,,2020-01-06
41,QAR,KATAR RİYALİ,1.6293,1.6506,,,3.6411,,2020-01-06
42,PKR,PAKİSTAN RUPİSİ,0.03827,0.03877,,,155.00,,2020-01-06
43,CNY,ÇİN YUANI,0.85070,0.86183,,,6.9735,,2020-01-06
44,IRR,İRAN RİYALİ,0.01412,0.01431,,,42000,,2020-01-06
45,RUB,RUS RUBLESİ,0.09549,0.09674,,,62.13,,2020-01-06
46,RON,RUMEN LEYİ,1.3890,1.4072,,,4.2710,,2020-01-06
47,BGN,BULGAR LEVASI,3.3919,3.4362,,,1.7490,,2020-01-06
48,JPY,JAPON YENİ,5.5093,5.5457,5.4889,5.5668,108.03,,2020-01-06
49,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2629,,,,,1.38380,2020-01-06
50,NOK,NORVEÇ KRONU,0.67476,0.67929,0.67428,0.68086,8.8197,,2020-01-06
51,CAD,KANADA DOLARI,4.5917,4.6124,4.5747,4.6299,1.2975,,2020-01-06
52,SEK,İSVEÇ KRONU,0.63111,0.63764,0.63067,0.63911,9.4127,,2020-01-06
53,CHF,İSVİÇRE FRANGI,6.1363,6.1757,6.1271,6.1850,0.9700,,2020-01-06
54,GBP,İNGİLİZ STERLİNİ,7.8134,7.8542,7.8080,7.8659,,1.3119,2020-01-06
55,EUR,EURO,6.6718,6.6838,6.6671,6.6939,,1.1183,2020-01-06
56,DKK,DANİMARKA KRONU,0.89134,0.89572,0.89072,0.89778,6.6827,,2020-01-06
57,AUD,AVUSTRALYA DOLARI,4.1351,4.1621,4.1161,4.1870,1.4393,,2020-01-06
58,USD,ABD DOLARI,5.9658,5.9766,5.9616,5.9855,,,2020-01-06
59,KWD,KUVEYT DİNARI,19.5726,19.8288,19.2791,20.1262,,3.2993,2020-01-06
60,BGN,BULGAR LEVASI,3.3874,3.4318,,,1.7494,,2020-01-07
61,RON,RUMEN LEYİ,1.3872,1.4054,,,4.2718,,2020-01-07
62,IRR,İRAN RİYALİ,0.01411,0.01429,,,42000,,2020-01-07
63,JPY,JAPON YENİ,5.4836,5.5199,5.4633,5.5409,108.42,,2020-01-07
64,PKR,PAKİSTAN RUPİSİ,0.03823,0.03873,,,155.02,,2020-01-07
65,QAR,KATAR RİYALİ,1.6275,1.6488,,,3.6411,,2020-01-07
66,XDR,ÖZEL ÇEKME HAKKI (SDR)                            ,8.2571,,,,,1.38432,2020-01-07
67,CNY,ÇİN YUANI,0.85363,0.86480,,,6.9421,,2020-01-07
68,SAR,SUUDİ ARABİSTAN RİYALİ,1.5886,1.5914,1.5767,1.6034,3.7514,,2020-01-07
69,RUB,RUS RUBLESİ,0.09591,0.09717,,,61.79,,2020-01-07
70,KWD,KUVEYT DİNARI,19.5509,19.8067,19.2577,20.1038,,3.2992,2020-01-07
71,USD,ABD DOLARI,5.9594,5.9701,5.9552,5.9790,,,2020-01-07
72,AUD,AVUSTRALYA DOLARI,4.0991,4.1258,4.0803,4.1506,1.4504,,2020-01-07
73,DKK,DANİMARKA KRONU,0.89021,0.89458,0.88958,0.89664,6.6840,,2020-01-07
