,Tarih,Fon Kodu,Fon Adı,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
0,02.01.2024,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,16.276826,"6,018,098.0",667,"97,955,531.92"
1,02.01.2024,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,1.147036,"1,027,710,155.0","5,360","1,178,820,093.58"
2,02.01.2024,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,6.207148,"1,070,574.0",63,"6,645,211.77"
3,02.01.2024,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),32.629211,"27,604,472.0","2,023","900,712,128.58"
4,02.01.2024,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,0.306363,"127,823,508.0",3,"39,160,429.49"
5,02.01.2024,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.914693,"687,593,293.0",1,"628,936,783.48"
6,02.01.2024,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.037468,"110,191,618.0",69,"4,128,675.76"
7,02.01.2024,AC1,A1 PORTFÖY KISA VADELİ KATILIM SERBEST FONU,1.137099,"37,924,680.0",63,"43,124,121.48"
8,02.01.2024,AC2,A1 PORTFÖY İKİNCİ SERBEST FON,0.855866,"1,034,064,049.0",46,"885,019,982.49"
9,02.01.2024,AC3,A1 PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,36.10559,"936,884.0",3,"33,826,749.17"
10,02.01.2024,AC4,A1 PORTFÖY PARA PİYASASI (TL) FON,1.245439,"606,086,718.0","2,406","754,843,950.39"
11,02.01.2024,AC5,A1 PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,1.658268,"68,060,987.0",135,"112,863,348.19"
12,02.01.2024,AC6,A1 PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,32.874801,"848,955.0",87,"27,909,226.82"
13,02.01.2024,AC7,A1 PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3.633108,"19,319,200.0",60,"70,188,745.03"
14,02.01.2024,AC8,A1 PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),20.253492,"24,308,152.0",60,"492,324,959.6"
