,Tarih,Şimdi_x,Açılış_x,Yüksek_x,Düşük_x,Hac._x,Fark %_x
0,01.01.2020,59466.0,59461.0,59491.0,59375.0,,"0,06%"
1,02.01.2020,59566.0,59458.0,59615.0,59415.0,,"0,04%"
2,03.01.2020,59723.0,59545.0,59785.0,59460.0,,"0,02%"
3,05.01.2020,59674.0,59713.0,59768.0,59625.0,,"-0,08%"
4,06.01.2020,59690.0,59758.0,59811.0,59631.0,,"0,03%"
5,07.01.2020,59727.0,59677.0,59791.0,59459.0,,"0,04%"
6,08.01.2020,59091.0,59710.0,59881.0,58950.0,,"0,07%"
7,09.01.2020,58739.0,59093.0,59306.0,58593.0,,"0,03%"
8,10.01.2020,58777.0,58706.0,58966.0,58535.0,,"0,02%"
9,12.01.2020,58657.0,58848.0,58848.0,58485.0,,"-0,20%"
10,13.01.2020,58671.0,58839.0,58845.0,58509.0,,"0,02%"
11,14.01.2020,58819.0,58674.0,59036.0,58580.0,,"0,04%"
12,15.01.2020,58758.0,58815.0,59008.0,58654.0,,"0,05%"
13,16.01.2020,58597.0,58773.0,58963.0,58350.0,,"0,09%"
14,17.01.2020,58908.0,58574.0,59106.0,58410.0,,"0,09%"
15,19.01.2020,59099.0,58898.0,59191.0,58820.0,,"0,32%"
16,20.01.2020,59132.0,58810.0,59218.0,58810.0,,"0,06%"
17,21.01.2020,59376.0,59122.0,59416.0,59107.0,,"0,05%"
18,22.01.2020,59222.0,59405.0,59479.0,59150.0,,"0,02%"
19,23.01.2020,59344.0,59220.0,59495.0,58994.0,,"0,04%"
20,24.01.2020,59391.0,59314.0,59478.0,59170.0,,"0,02%"
21,26.01.2020,59389.0,59381.0,59576.0,59320.0,,"0,00%"
22,27.01.2020,59440.0,59392.0,59574.0,59290.0,,"0,09%"
23,28.01.2020,59403.0,59422.0,59537.0,59260.0,,"0,01%"
24,29.01.2020,59567.0,59409.0,59753.0,59327.0,,"0,00%"
25,30.01.2020,59725.0,59617.0,59934.0,59563.0,,"0,05%"
26,31.01.2020,59822.0,59727.0,59870.0,59639.0,,"0,02%"
27,02.02.2020,59839.0,59681.0,59865.0,59681.0,,"0,03%"
28,03.02.2020,59844.0,59829.0,59876.0,59729.0,,"0,01%"
